"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Academy Rector","uds","Near Mint","English","","","2025-06-09 22:08:39.573000","1","False","True",""
"1","1","Aggravated Assault","mp2","Near Mint","English","foil","","2025-06-09 22:08:39.573000","25","False","True",""
"2","2","Akroma's Memorial","fut","Near Mint","English","","","2025-06-09 22:08:39.573000","159","False","True",""
"1","1","Akroma's Memorial","m13","Near Mint","English","","","2025-06-09 22:08:39.573000","200","False","True",""
"1","1","Allosaurus Shepherd","jmp","Near Mint","English","","","2025-06-09 22:08:39.573000","28","False","True",""
"1","1","Aluren","tmp","Near Mint","English","","","2025-06-09 22:08:39.573000","213","False","True",""
"1","1","Ancestral Vision","tsp","Near Mint","English","","","2025-06-09 22:08:39.573000","48","False","True",""
"1","1","Ancient Copper Dragon","clb","Near Mint","English","","","2025-06-09 22:08:39.573000","368","True","True",""
"1","1","Ancient Tomb","puma","Near Mint","English","foil","","2025-06-09 22:08:39.573000","U31","False","True",""
"1","1","Ancient Tomb","uma","Near Mint","English","","","2025-06-09 22:08:39.573000","236","False","True",""
"1","1","Ancient Tomb","exp","Near Mint","English","foil","","2025-06-09 22:08:39.573000","36","False","True",""
"2","2","Ancient Tomb","tmp","Near Mint","English","","","2025-06-09 22:08:39.573000","315","False","True",""
"3","3","Anointed Procession","akh","Near Mint","English","","","2025-06-09 22:08:39.573000","2","False","True",""
"1","1","Apex Devastator","cmr","Near Mint","English","","","2025-06-09 22:08:39.573000","217","False","True",""
"10","10","Arcane Signet","eld","Near Mint","English","","","2025-06-09 22:08:39.573000","331","False","True",""
"1","1","Arcbound Ravager","dst","Near Mint","English","","","2025-06-09 22:08:39.573000","100","False","True",""
"1","1","Archangel of Thune","m14","Near Mint","English","","","2025-06-09 22:08:39.573000","5","False","True",""
"1","1","Archfiend of Despair","bbd","Near Mint","English","","","2025-06-09 22:08:39.573000","44","False","True",""
"1","1","Arcum Dagsson","csp","Near Mint","English","","","2025-06-09 22:08:39.573000","27","False","True",""
"1","1","Argothian Enchantress","g03","Near Mint","English","foil","","2025-06-09 22:08:39.573000","2","False","True",""
"1","1","Arid Mesa","mm3","Near Mint","English","","","2025-06-09 22:08:39.573000","229","False","True",""
"1","1","Arid Mesa","exp","Near Mint","English","foil","","2025-06-09 22:08:39.573000","24","False","True",""
"1","1","Arid Mesa","slu","Near Mint","English","","","2025-06-09 22:08:39.573000","4","False","True",""
"4","4","Arid Mesa","zen","Near Mint","English","","","2025-06-09 22:08:39.573000","211","False","True",""
"1","1","Arid Mesa","zne","Near Mint","English","foil","","2025-06-09 22:08:39.573000","9","False","True",""
"1","1","Armageddon","mp2","Near Mint","English","foil","","2025-06-09 22:08:39.573000","31","False","True",""
"1","1","Ashcoat of the Shadow Swarm","j22","Near Mint","English","","","2025-06-09 22:08:39.573000","19","False","True",""
"1","1","Assassin's Trophy","grn","Near Mint","English","","","2025-06-09 22:08:39.573000","152","False","True",""
