"Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price","Notes"
"1","","e02","Near Mint","English","","","","","","","","ERROR: No usable identifiers available for lookup; WARNING: Set code added as ""e02"" based on set name ""Explorers of Ixalan""; WARNING: Will fail conversion - no usable identifiers available (need name, or set+collector#, or Scryfall/Multiverse/MTGO ID)"
"1","","","Near Mint","English","","","","","","","","ERROR: No usable identifiers available for lookup; WARNING: Will fail conversion - no usable identifiers available (need name, or set+collector#, or Scryfall/Multiverse/MTGO ID)"
"1","All Is Dust","cmm","Lightly Played","English","foil","","","18","","","","ERROR: Data validation failed: Name mismatch: expected ""All Is Dust"", got ""Cartographer's Hawk"""
"1","Adaptive Automaton","fdn","Near Mint","English","","","","723","","","","WARNING: Only card name available - correct version unlikely to be found"
"1","Adaptive Automaton","e02","Near Mint","English","","","","42","","","","WARNING: Missing card name - using set + collector number for lookup"
"1","Ajani's Chosen","m14","Near Mint","qqq","foil","","","2","","","","WARNING: Language mismatch: unrecognized language ""qqq"", using ""en"" version"
"1","Akroma's Memorial","tsr","Near Mint","Korean","","","","262","","","","WARNING: Language mismatch: requested ""Korean"", ""ko"" version not available, using ""en"" version"
"1","Alela, Artful Provocateur","eld","Near Mint","English","","","","324","","","","WARNING: Set code added as ""eld"" based on set name ""Throne of Eldraine"""
"1","Alela, Artful Provocateur","eld","Near Mint","English","","","","324","","","","WARNING: Set code ""eeee"" corrected to ""eld"" based on set name ""Throne of Eldraine"""
"1","Plains","tdm","Damaged","English","","","","277","","","","WARNING: Only card name available - correct version unlikely to be found"
"1","Reflecting Pool","cns","Near Mint","English","","","","210","","","","WARNING: Will attempt to find correct printing using name + collector number during conversion; WARNING: Found set ""cns"" via name + collector number search"
"1","Adaptive Automaton","e02","Near Mint","English","","","","42","","","",""
"1","Ajani's Chosen","m14","Near Mint","English","foil","","","2","","","",""
"1","Ajani's Chosen","m14","Near Mint","Korean","foil","","","2","","","",""
"1","Ajani's Chosen","m14","Near Mint","Portuguese","foil","","","2","","","",""
"1","Akroma's Memorial","fut","Near Mint","English","","","","159","","","",""
"1","Akroma's Memorial","fut","Near Mint","English","","","","159","","","",""
"2","All Is Dust","cmm","Lightly Played","Japanese","","","","800","","","",""
"1","Flooded Strand","ktk","Near Mint","German","","","","233","","","",""
