Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Scryfall ID,Last Modified
"1","0","Settle the Wreckage","Ixalan","Good (Lightly Played)","English","","EDH | Tameshi","9cbd346e-098a-4cf6-a72f-468376fd2e8f","2024-03-02 22:58:09.843061"
"1","1","Mistveil Plains","Shadowmoor","Good (Lightly Played)","English","","","af06f923-0c89-42ae-a4a8-618be7f39cce","2024-12-28 03:48:46.768459"
"1","1","Rumor Gatherer","Streets of New Capenna","Near Mint","English","foil","BIN","f8b87807-cac5-4e33-a8ed-a9ced0cd83a1","2025-01-13 02:39:26.884862"
"1","1","Into the Fire","March of the Machine","Near Mint","English","","","80f649bb-b163-44ae-801f-8884143c407f","2024-11-26 19:55:16.679312"
"1","0","Ashen Rider","Theros","Near Mint","English","","EDH | Karador","602e43b1-1b1c-4eb1-be0a-61b673646c6f","2020-03-19 18:47:48.048105"
"1","1","Immaculate Magistrate","Commander Legends","Near Mint","English","","BIN","d9208db8-1ba5-4f9c-90a4-03e377ae6f86","2025-03-07 03:52:45.823066"
"1","0","Goro-Goro, Disciple of Ryusei","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","862e9b05-209d-47d6-8692-ec0cb5f19e25","2023-01-22 18:21:58.840096"
"1","0","Raiyuu, Storm's Edge","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","1026485e-3df5-4ac7-baa1-06bff537a506","2023-01-22 18:21:58.854450"
"2","2","Body of Knowledge","Commander Legends","Near Mint","English","","BIN","786ae686-0790-4ba1-927f-523984331549","2025-03-07 03:52:25.198621"
"1","1","Sailor of Means","Commander Legends","Near Mint","English","foil","BIN","212e9011-a9b7-4a60-bb47-ce5c3c147280","2025-03-07 03:51:39.594344"
"1","0","Shigeki, Jukai Visionary","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","52a16623-7e6d-405b-95db-bf18aeea3f49","2023-01-22 18:21:58.866528"
"1","0","Soul Transfer","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","1e5aba90-c8c7-4f06-b7b3-1b4758d2791a","2023-01-22 18:21:58.885460"
"1","1","Azure Fleet Admiral","Commander Legends","Near Mint","English","foil","BIN","c0889e22-deab-48ba-bbd6-f0d49bee5d9c","2025-03-07 03:51:39.594344"
"1","0","Invoke Justice","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","3a598ab6-3254-49fe-b69f-e7c759129599","2023-01-22 18:21:58.902698"
"1","0","Tribute to Horobi","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","54613f38-ca91-4764-b1fe-60cd83707fb4","2023-01-22 18:21:58.917747"
"1","1","Corpse Churn","Commander Legends","Near Mint","English","foil","BIN","6fedb37f-4f3c-477c-84c0-aa864e87c111","2025-03-07 03:51:39.594344"
"3","0","Swiftwater Cliffs","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","ea6c2670-e6fd-40d6-afe0-7d3c4db96a4d","2023-01-22 18:21:59.002147"
"3","0","Rugged Highlands","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","58d511be-60e0-4755-abec-18eebb530605","2023-01-22 18:21:59.021998"
"1","0","Rampant Growth","Double Masters 2022 - Borderless","Near Mint","English","","","b4bbf009-0798-4d8b-b375-6d6fde975c34","2024-03-29 00:40:30.503415"
"1","1","Demonic Dread","Alara Reborn","Good (Lightly Played)","English","","BIN","fb81132e-ab33-435f-ade4-af4416d36044","2025-03-07 03:51:39.594344"
"1","0","Midnight Reaper","Guilds of Ravnica","Near Mint","English","","EDH | Karador","5e122fe0-51c5-404d-a7b9-3d161a426c35","2020-04-20 20:26:55.968910"
"1","0","Wayfarer's Bauble","Fallout","Near Mint","English","","EDH | Butch","084b7503-d05b-4eac-bb6f-ef3bf696437d","2025-02-01 01:01:37.460631"
"1","0","Nikara, Lair Scavenger","Commander 2020","Near Mint","English","","EDH | Butch","00b9ac91-51e4-4653-ac2a-da166a894f2a","2025-02-01 01:00:22.605267"
