name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Armored Armadillo",1,"Creature - Armadillo",W,"otj","3",common,White,Owned,,false,,,"","",123917
"Cheeky House-Mouse",1,"Creature - Mouse",W,"woe","7",uncommon,White,Owned,Foil,false,,,"","",116304
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,White,Owned,,false,,,"","",67493
"Gideon's Lawkeeper",1,"Creature - Human Soldier",W,"m12","18",common,White,Owned,,false,,,"","",41529
"Market Gnome",1,"Artifact Creature - Gnome",W,"lci","22",uncommon,White,Owned,,false,,,"","",117822
"Mother of Runes",1,"Creature - Human Cleric",W,"ddo","20",uncommon,White,Owned,,false,,,"","",
"Mystic Penitent",1,"Creature - Human Nomad Mystic",W,"ody","34",uncommon,White,Owned,,false,,,"","",16365
"Recruitment Officer",1,"Creature - Human Soldier",W,"gdy","7",rare,White,Owned,,false,,,"","",
"Student of Warfare",1,"Creature - Human Knight",W,"roe","47",rare,White,Owned,Foil,false,,,"","",36586
"Swooping Lookout",1,"Artifact Creature - Phyrexian Construct",W,"one","35",uncommon,White,Owned,Non-foil,false,,,"","",106285
"Tarkir Duneshaper",1,"Creature - Dog Warrior",W,"mom","43",common,Multicolored,Owned,Foil,false,,,"","",109896
"Traveling Minister",1,"Creature - Human Cleric",W,"vow","39",common,White,Owned,,false,,,"","",94374
"Defiant Strike",1,"Instant",W,"sta","3",uncommon,White,Owned,,false,,,"","",89063
"Isolate",1,"Instant",W,"m19","17",rare,White,Owned,,false,,,"","",68195
"Swords to Plowshares",1,"Instant",W,"a25","35",uncommon,White,Owned,,false,,,"","",66984
"Helping Hand",1,"Sorcery",W,"lci","17",uncommon,White,Owned,,false,,,"","",117812
"Oust",1,"Sorcery",W,"roe","40",uncommon,White,Owned,,false,,,"","",36682
"Kor Halberd",1,"Artifact - Equipment",W,"mom","27",common,White,Owned,,false,,,"","",109860
"Hyena Umbra",1,"Enchantment - Aura",W,"2x2","13",common,White,Owned,Foil,false,,,"","",101510
"Porphyry Nodes",1,"Enchantment",W,"plc","28",rare,White,Owned,,false,,,"","",26353
"Captive Weird",1,"Creature - Weird",U,"mom","49",uncommon,Multicolored,Owned,,false,,,"","",109910
"Cobbled Lancer",1,"Creature - Zombie Horse",U,"vow","52",uncommon,Blue,Owned,,false,,,"","",94408
"Cursecatcher",1,"Creature - Merfolk Wizard",U,"shm","34",uncommon,Blue,Owned,,false,,,"","",29829
"Delver of Secrets",1,"Creature - Human Wizard",U,"isd","51",common,Blue,Owned,,false,,,"","",42436
"Drifter il-Dal",1,"Creature - Human Wizard",U,"tsr","65",common,Blue,Owned,,false,,,"","",86493
"Faerie Seer",1,"Creature - Faerie Wizard",U,"mh1","51",common,Blue,Owned,,false,,,"","",72474
"Harrier Strix",1,"Creature - Bird",U,"otj","52",common,Blue,Owned,,false,,,"","",124015
"Jace's Phantasm",1,"Creature - Illusion",U,"m13","57",uncommon,Blue,Owned,,false,,,"","",45542
"Merfolk Secretkeeper",1,"Creature - Merfolk Wizard",U,"eld","53",common,Blue,Owned,Foil,false,,,"","",78214
"Merfolk Windrobber",1,"Creature - Merfolk Rogue",U,"znr","70",uncommon,Blue,Owned,Non-foil,false,,,"","",83093
"Slither Blade",1,"Creature - Snake Rogue",U,"akh","71",common,Blue,Owned,,false,,,"","",63744
"Wingcrafter",1,"Creature - Human Wizard",U,"avr","83",common,Blue,Not Owned,,false,,,"","",43849
"Minor Misstep",1,"Instant",U,"one","64",uncommon,Blue,Owned,,false,,,"","",106343
"Sapphire Charm",1,"Instant",U,"mir","89",common,Blue,Owned,,false,,,"","",7273
"Vapor Snag",1,"Instant",U,"nph","48",common,Blue,Owned,,false,,,"","",39808
"Ponder",1,"Sorcery",U,"m12","73",common,Blue,Owned,,false,,,"","",41241
"Portent",1,"Sorcery",U,"c18","97",common,Blue,Owned,,false,,,"","",
"Sleight of Hand",1,"Sorcery",U,"uma","70",uncommon,Blue,Owned,,false,,,"","",70213
"Aether Spellbomb",1,"Artifact",,"mrd","141",common,Blue,Owned,,false,,,"","",19871
"Curiosity",1,"Enchantment - Aura",U,"a25","52",uncommon,Blue,Owned,,false,,,"","",67018
"Banehound",1,"Creature - Nightmare Dog",B,"war","77",common,Black,Owned,,false,,,"","",71760
"Cabal Therapist",1,"Creature - Horror",B,"mh1","80",rare,Black,Owned,,false,,,"","",72532
"Ecstatic Awakener",1,"Creature - Human Wizard",B,"mid","100",common,Black,Owned,,false,,,"","",93154
