name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Esper Sentinel",,"Artifact Creature - Human Soldier",,"mh2","12",rare,w,Not Owned,,false,,,"","",90393
"Giant Killer",,"Creature - Human Peasant",,"eld","14",rare,w,Not Owned,,false,,,"","",78118
"Giver of Runes",,"Creature - Kor Cleric",,"mh1","13",rare,w,Not Owned,,false,,,"","",72398
"Kytheon, Hero of Akros",,"Legendary Creature - Human Soldier",,"ori","23",mythic,w,Not Owned,Foil,false,,,"","",57876
"Mother of Runes",,"Creature - Human Cleric",,"ulg","14",uncommon,w,Not Owned,,false,,,"","",12553
"Student of Warfare",,"Creature - Human Knight",,"roe","47",rare,w,Not Owned,,false,,,"","",36586
"Thraben Inspector",,"Creature - Human Soldier",,"soi","44",common,w,Not Owned,,false,,,"","",60240
"Usher of the Fallen",,"Creature - Spirit Warrior",,"khm","35",uncommon,w,Not Owned,,false,,,"","",87393
"Adanto Vanguard",,"Creature - Vampire Soldier",,"xln","1",uncommon,w,Not Owned,,false,,,"","",65012
"Anafenza, Kin-Tree Spirit",,"Legendary Creature - Spirit Soldier",,"dtk","2",rare,w,Not Owned,,false,,,"","",55978
"Containment Priest",,"Creature - Human Cleric",,"c14","5",rare,w,Not Owned,,false,,,"","",55177
"Leonin Relic-Warder",,"Creature - Cat Cleric",,"mbs","10",uncommon,w,Not Owned,,false,,,"","",39591
"Lion Sash",,"Artifact Creature - Equipment Cat",,"neo","26",rare,w,Not Owned,,false,,,"","",96962
"Selfless Spirit",,"Creature - Spirit Cleric",,"emn","40",rare,w,Not Owned,,false,,,"","",61102
"Stoneforge Mystic",,"Creature - Kor Artificer",,"wwk","20",rare,w,Not Owned,,false,,,"","",35737
"Thalia, Guardian of Thraben",,"Legendary Creature - Human Soldier",,"dka","24",rare,w,Not Owned,,false,,,"","",43469
"Tithe Taker",,"Creature - Human Soldier",,"rna","27",rare,w,Not Owned,,false,,,"","",71054
"Wall of Omens",,"Creature - Wall",,"roe","53",uncommon,w,Not Owned,,false,,,"","",36526
