amount,card_name,is_foil,is_pinned,is_signed,set_id,set_code,collector_number,language,condition,comment,added
1,"+2 Mace",,,,,"AFR","1",,,,
1,"Academy Rector",,,,,"UDS","1",,,,
1,"Acidic Slime",,,,,"M3C","218",,,,
1,"Altar of Bone",,,,,"ICE","281",,,,
1,"Altar of Dementia",,,,,"TMP","276",,,,
1,"Animate Dead",,,,,"MKC","125",,,,
1,"Apprentice Necromancer",,,,,"UMA","84",,,,
1,"Archon of Justice",,,,,"M12","6",,,,
1,"Ashnod's Altar",,,,,"CMM","368",,,,
1,"Aura Shards",,,,,"INV","233",,,,
1,"Austere Command",,,,,"M3C","167",,,,
1,"Avacyn, Angel of Hope",,,,,"INR","477",,,,
1,"Avacyn's Pilgrim",,,,,"SCD","171",,,,
1,"Aven Mindcensor",,,,,"CLB","688",,,,
1,"Birds of Paradise",,,,,"BLC","81",,,,
1,"Birthing Pod",,,,,"NPH","104",,,,
1,"Blood Artist",,,,,"INR","97",,,,
1,"Bloodstained Mire",,,,,"KTK","230",,,,
1,"Boonweaver Giant",,,,,"M15","5",,,,
1,"Brushland",,,,,"M3C","324",,,,
1,"Buried Alive",,,,,"UMA","88",,,,
1,"Canopy Vista",,,,,"BLC","296",,,,
1,"Caves of Koilos",,,,,"DRC","148",,,,
1,"Chrome Mox",,,,,"2XM","240",,,,
1,"City of Brass",,,,,"2X2","321",,,,
1,"Command Tower",,,,,"DRC","59",,,,
1,"Dance of the Dead",,,,,"ICE","118",,,,
1,"Day of Judgment",,,,,"FDN","140",,,,
1,"Demonic Tutor",,,,,"CMM","150",,,,
1,"Diabolic Intent",,,,,"LTC","526",,,,
1,"Dimir House Guard",,,,,"RVR","73",,,,
1,"Dryad Arbor",,,,,"DSC","273",,,,
1,"Eladamri's Call",,,,,"A25","203",,,,
1,"Elesh Norn, Grand Cenobite",,,,,"IMA","18",,,,
1,"Elves of Deep Shadow",,,,,"GK1","56",,,,
1,"Elvish Mystic",,,,,"LTC","238",,,,
1,"Enlightened Tutor",,,,,"DMR","6",,,,
1,"Entomb",,,,,"DMR","82",,,,
1,"Eternal Witness",,,,,"M3C","227",,,,
1,"Fauna Shaman",,,,,"BRO","179",,,,
1,"Fiend Hunter",,,,,"INR","22",,,,
1,"Fleshbag Marauder",,,,,"DRC","92",,,,
1,"Flooded Strand",,,,,"KTK","233",,,,
1,"Godless Shrine",,,,,"RVR","277",,,,
1,"Greater Good",,,,,"BLC","223",,,,
1,"Grim Haruspex",,,,,"CLB","754",,,,
1,"Harmonic Sliver",,,,,"CMM","924",,,,
1,"High Market",,,,,"AFC","246",,,,
1,"Hushwing Gryff",,,,,"C16","68",,,,
1,"Iona, Shield of Emeria",,,,,"MM2","20",,,,
1,"Isolated Chapel",,,,,"DRC","162",,,,
1,"Karador, Ghost Chieftain",,,,,"CMM","342",,,,
1,"Karmic Guide",,,,,"VOC","90",,,,
1,"Kataki, War's Wage",,,,,"MMA","20",,,,
1,"Knight of the Reliquary",,,,,"TSR","379",,,,
1,"Llanowar Elves",,,,,"FDN","227",,,,
