amount,card_name,is_foil,is_pinned,is_signed,set_id,set_code,collector_number,language,condition,comment,added
1,"Abrade",,,,,"2XM",,"en","NM",,
2,"Abzan Banner",,,,,"KTK",,"en","NM",,
1,"Abzan Beastmaster",,,,,"FRF",,"en","NM",,
1,"Acidic Slime",,,,,"NEC",,"en","NM",,
1,"Adorable Kitten",,,,,"UND",,"en","NM",,
1,"Aether Spellbomb",,,,,"MMA",,"en","NM",,
1,"Aggravated Assault",,,,,"ONS",,"en","NM",,
1,"Agitator Ant",,,,,"NEC",,"en","NM",,
1,"Ajani's Chosen",,,,,"JMP",,"en","NM",,
1,"Akki Battle Squad",,,,,"NEC",,"en","NM",,
1,"Akki Drillmaster",,,,,"SOK",,"en","NM",,
1,"Ana Sanctuary",,,,,"MB1",,"en","NM",,
1,"Angel's Tomb",,,,,"ORI",,"en","NM",,
1,"Angelic Gift",,,,,"BFZ",,"en","NM",,
1,"Angelic Renewal",,,,,"WTH",,"en","NM",,
1,"Anger",,,,,"MB1",,"en","NM",,
2,"Arcane Signet",,,,,"ELD",,"en","NM",,
2,"Arcane Signet",,,,,"C20",,"en","NM",,
1,"Arcane Signet",,,,,"NEC",,"en","NM",,
1,"Arcbound Worker",,,,,"MMA",,"en","NM",,
1,"Arcum's Whistle",,,,,"ICE",,"en","NM",,
1,"Armadillo Cloak",,,,,"INV",,"en","NM",,
1,"Armed // Dangerous",,,,,"DGM",,"en","NM",,
1,"Arrest",,,,,"SOM",,"en","NM",,
1,"Ascendant Acolyte",,,,,"NEC",,"en","NM",,
1,"Asha's Favor",,,,,"CON",,"en","NM",,
1,"Ashes to Ashes",,,,,"4ED",,"en","NM",,
1,"Assault Suit",,,,,"C14",,"en","NM",,
1,"Atarka Monument",,,,,"DTK",,"en","NM",,
1,"Atla Palani, Nest Tender",1,,,,"C19",,"en","NM",,
1,"Auramancer",,,,,"ORI",,"en","NM",,
2,"Avacyn's Pilgrim",,,,,"ISD",,"en","NM",,
1,"AWOL",,,,,"UND",,"en","NM",,
2,"Azorius Cluestone",,,,,"DGM",,"en","NM",,
1,"Bag of Holding",,,,,"M20",,"en","NM",,
1,"Baloth Pup",,,,,"OGW",,"en","NM",,
1,"Bane of Bala Ged",,,,,"BFZ",,"en","NM",,
1,"Barbed Sextant",,,,,"ICE",,"en","NM",,
1,"Bastion Mastodon",,,,,"KLD",,"en","NM",,
1,"Battle Mastery",,,,,"BBD",,"en","NM",,
1,"Battlemage's Bracers",,,,,"C21",,"en","NM",,
1,"Bear Umbra",,,,,"NEC",,"en","NM",,
1,"Beast Whisperer",,,,,"GRN",,"en","NM",,
1,"Beast Whisperer",,,,,"KHC",,"en","NM",,
1,"Beast Within",,,,,"MB1",,"en","NM",,
1,"Beast Within",,,,,"C19",,"en","NM",,
2,"Beast Within",,,,,"MIC",,"en","NM",,
1,"Beast Within",,,,,"NEC",,"en","NM",,
1,"Benevolent Bodyguard",,,,,"JUD",,"en","NM",,
1,"Beseech the Queen",,,,,"SHM",,"en","NM",,
1,"Bitter Feud",,,,,"C14",,"en","NM",,
1,"Blackblade Reforged",,,,,"CMR",,"en","NM",,
1,"Blackblade Reforged",,,,,"NEC",,"en","NM",,
1,"Blasphemous Act",,,,,"CMR",,"en","NM",,
1,"Blasted Landscape",,,,,"USG",,"en","NM",,
1,"Blight Mamba",,,,,"SOM",,"en","NM",,
1,"Blisterpod",,,,,"BFZ",,"en","NM",,
1,"Blood Mist",,,,,"EMN",,"en","NM",,
1,"Bloodlust Inciter",,,,,"AKH",,"en","NM",,
1,"Bloodthirsty Blade",,,,,"C19",,"en","NM",,
1,"Blossoming Bogbeast",,,,,"C21",,"en","NM",,
1,"Bojuka Bog",,,,,"C19",,"en","NM",,
1,"Bolt Bend",,,,,"WAR",,"en","NM",,
2,"Bonded Construct",,,,,"ORI",,"en","NM",,
1,"Bonders' Enclave",,,,,"IKO",,"en","NM",,
1,"Bone Saw",,,,,"OGW",,"en","NM",,
1,"Bonehoard",,,,,"NEC",,"en","NM",,
1,"Boots of Speed",,,,,"AFR",,"en","NM",,
2,"Boros Cluestone",,,,,"DGM",,"en","NM",,
1,"Boros Garrison",,,,,"RAV",,"en","NM",,
2,"Boros Guildgate",,,,,"GRN",,"en","NM",,
1,"Boros Locket",,,,,"GRN",,"en","NM",,
1,"Brave the Sands",,,,,"KTK",,"en","NM",,
1,"Brawler's Plate",,,,,"ORI",,"en","NM",,
1,"Brilliant Halo",,,,,"USG",,"en","NM",,
1,"Brilliant Restoration",,,,,"NEO",,"en","NM",,
1,"Brokkos, Apex of Forever",,,,,"IKO",,"en","NM",,
1,"Brood Birthing",,,,,"ROE",,"en","NM",,
1,"Brutalizer Exarch",,,,,"NPH",,"en","NM",,
1,"Buried Ruin",,,,,"JMP",,"en","NM",,
1,"Butcher's Cleaver",,,,,"ISD",,"en","NM",,
1,"By Force",,,,,"AKH",,"en","NM",,
1,"Cackling Counterpart",,,,,"C14",,"en","NM",,
1,"Canopy Cover",,,,,"WWK",,"en","NM",,
1,"Carrion Call",,,,,"SOM",,"en","NM",,
1,"Castle Locthwain",,,,,"PELD",,"en","NM",,
1,"Cathartic Reunion",,,,,"IKO",,"en","NM",,
1,"Cathodion",,,,,"USG",,"en","NM",,
2,"Caustic Caterpillar",,,,,"ORI",,"en","NM",,
1,"Celestial Ancient",,,,,"PLIST",,"en","NM",,
1,"Centaur's Herald",,,,,"RTR",,"en","NM",,
1,"Chain Reaction",,,,,"NEC",,"en","NM",,
1,"Chameleon Colossus",,,,,"AFC",,"en","NM",,
1,"Champion of Lambholt",,,,,"NEC",,"en","NM",,
2,"Champion of Rhonas",,,,,"AKH",,"en","NM",,
1,"Change of Fortune",,,,,"VOW",,"en","NM",,
1,"Chaos Warp",,,,,"AFC",,"en","NM",,
1,"Chaos Warp",,,,,"NEC",,"en","NM",,
1,"Chariot of the Sun",,,,,"MIR",,"en","NM",,
1,"Chief of the Foundry",,,,,"KLD",,"en","NM",,
1,"Chishiro, the Shattered Blade",,,,,"NEC",,"en","NM",,
1,"Chishiro, the Shattered Blade",1,,,,"NEC",,"en","NM",,
10,"Chitinous Cloak",,,,,"OGW",,"en","NM",,
1,"Cho-Arrim Legate",,,,,"MMQ",,"en","NM",,
1,"Choose Your Weapon",,,,,"AFR",,"en","NM",,
1,"Cinder Glade",,,,,"NEC",,"en","NM",,
1,"Clear Shot",,,,,"MID",,"en","NM",,
1,"Cloak and Dagger",,,,,"MOR",,"en","NM",,
1,"Clock of Omens",,,,,"M13",,"en","NM",,
1,"Clockwork Gnomes",,,,,"HML",,"en","NM",,
1,"Clockwork Hydra",,,,,"TSR",,"en","NM",,
2,"Clockwork Steed",,,,,"HML",,"en","NM",,
1,"Cloud of Faeries",,,,,"ULG",,"en","NM",,
1,"Cobbled Wings",,,,,"ISD",,"en","NM",,
1,"Collision of Realms",,,,,"NEC",,"en","NM",,
1,"Colossal Dreadmaw",,,,,"M19",,"en","NM",,
1,"Colossal Majesty",,,,,"M19",,"en","NM",,
1,"Combat Celebrant",,,,,"AKH",,"en","NM",,
1,"Combat Celebrant",,,,,"AKH",,"en","NM",,
1,"Comet Storm",,,,,"C17",,"en","NM",,
1,"Command Beacon",,,,,"CMR",,"en","NM",,
1,"Command Tower",,,,,"ELD",,"en","NM",,
1,"Command Tower",,,,,"C21",,"en","NM",,
6,"Command Tower",,,,,"NEC",,"en","NM",,
1,"Commander's Plate",1,,,,"CMR",,"en","NM",,
1,"Concord with the Kami",,,,,"NEC",,"en","NM",,
1,"Conspiracy Theorist",,,,,"STX",,"en","NM",,
1,"Consuming Tide",1,,,,"VOW",,"en","NM",,
1,"Containment Construct",,,,,"NEO",,"en","NM",,
2,"Copperhorn Scout",,,,,"CNS",,"en","NM",,
1,"Cosmotronic Wave",,,,,"GRN",,"en","NM",,
1,"Coursers' Accord",,,,,"RTR",,"en","NM",,
1,"Coveted Jewel",,,,,"MB1",,"en","NM",,
17,"Cradle of the Accursed",,,,,"AKH",,"en","NM",,
2,"Crushing Canopy",,,,,"GRN",,"en","NM",,
1,"Cryptoplasm",,,,,"MBS",,"en","NM",,
1,"Crystal Golem",,,,,"MIR",,"en","NM",,
2,"Crystalline Giant",,,,,"IKO",,"en","NM",,
1,"Culling Dais",,,,,"SOM",,"en","NM",,
1,"Cultivate",,,,,"C19",,"en","NM",,
1,"Cultivate",,,,,"M11",,"en","NM",,
1,"Cultivate",,,,,"C20",,"en","NM",,
1,"Curse of the Nightly Hunt",,,,,"ISD",,"en","NM",,
1,"Darkwater Catacombs",,,,,"C20",,"en","NM",,
2,"Dawntreader Elk",,,,,"DKA",,"en","NM",,
1,"Death's Presence",,,,,"RTR",,"en","NM",,
1,"Decimate",,,,,"NEC",,"en","NM",,
1,"Decree of Pain",,,,,"SCG",,"en","NM",,
1,"Delif's Cone",,,,,"FEM",,"en","NM",,
1,"Delina, Wild Mage",,,,,"AFR",,"en","NM",,
2,"Desert of the Fervent",,,,,"HOU",,"en","NM",,
1,"Desert of the Fervent",,,,,"C20",,"en","NM",,
4,"Desert of the Indomitable",,,,,"HOU",,"en","NM",,
1,"Desert of the True",,,,,"HOU",,"en","NM",,
1,"Dictate of the Twin Gods",1,,,,"PJOU",,"en","NM",,
1,"Diligent Farmhand",,,,,"ODY",,"en","NM",,
1,"Dimir Aqueduct",,,,,"AFC",,"en","NM",,
2,"Dimir Cluestone",,,,,"DGM",,"en","NM",,
6,"Dimir Guildgate",,,,,"GRN",,"en","NM",,
1,"Dimir Locket",,,,,"GRN",,"en","NM",,
1,"Disdainful Stroke",,,,,"GRN",,"en","NM",,
1,"Display of Dominance",,,,,"DTK",,"en","NM",,
1,"Dowsing Dagger // Lost Vale",,,,,"XLN",,"en","NM",,
1,"Dragon Mage",,,,,"M20",,"en","NM",,
1,"Dragon Mantle",,,,,"THS",,"en","NM",,
1,"Dreamstone Hedron",,,,,"ROE",,"en","NM",,
1,"Dromoka's Gift",,,,,"DTK",,"en","NM",,
1,"Drownyard Temple",,,,,"C19",,"en","NM",,
1,"Dualcaster Mage",,,,,"C20",,"en","NM",,
1,"Duelist's Heritage",,,,,"C16",,"en","NM",,
1,"Dwarven Mine",,,,,"ELD",,"en","NM",,
1,"Electric Revelation",,,,,"MID",,"en","NM",,
1,"Elemental Bond",,,,,"ORI",,"en","NM",,
1,"Elemental Mastery",,,,,"NEC",,"en","NM",,
1,"Elephant Guide",,,,,"CNS",,"en","NM",,
1,"Elite Inquisitor",,,,,"ISD",,"en","NM",,
2,"Elvish Aberration",,,,,"CNS",,"en","NM",,
1,"Elvish Visionary",,,,,"BBD",,"en","NM",,
1,"Emberwilde Captain",1,,,,"CMR",,"en","NM",,
1,"Embodiment of Spring",,,,,"KTK",,"en","NM",,
1,"Emcee",,,,,"UND",,"en","NM",,
2,"Emergence Zone",,,,,"WAR",,"en","NM",,
1,"Emrakul's Hatcher",,,,,"ROE",,"en","NM",,
1,"End-Raze Forerunners",,,,,"KHC",,"en","NM",,
2,"Epic Confrontation",,,,,"DTK",,"en","NM",,
1,"Epitaph Golem",,,,,"SOI",,"en","NM",,
1,"Ersatz Gnomes",,,,,"MIR",,"en","NM",,
1,"Escape Velocity",,,,,"THB",,"en","NM",,
1,"Ethereal Armor",,,,,"Q06",,"en","NM",,
1,"Everflowing Chalice",1,,,,"2XM",,"en","NM",,
1,"Evolving Wilds",,,,,"ROE",,"en","NM",,
1,"Evolving Wilds",,,,,"C13",,"en","NM",,
6,"Evolving Wilds",,,,,"BFZ",,"en","NM",,
4,"Evolving Wilds",,,,,"AKH",,"en","NM",,
1,"Evolving Wilds",1,,,,"ORI",,"en","NM",,
1,"Evolving Wilds",,,,,"RIX",,"en","NM",,
3,"Evolving Wilds",,,,,"IMA",,"en","NM",,
1,"Exotic Orchard",,,,,"C19",,"en","NM",,
3,"Exotic Orchard",,,,,"NEC",,"en","NM",,
1,"Expedite",,,,,"OGW",,"en","NM",,
1,"Explorer's Scope",,,,,"CNS",,"en","NM",,
1,"Exponential Growth",,,,,"STX",,"en","NM",,
1,"Fabrication Module",,,,,"KLD",,"en","NM",,
1,"Faithless Looting",,,,,"UMA",,"en","NM",,
1,"Farseek",,,,,"RAV",,"en","NM",,
1,"Farseek",,,,,"M13",,"en","NM",,
1,"Fellwar Stone",,,,,"NEC",,"en","NM",,
1,"Fertile Ground",,,,,"INV",,"en","NM",,
1,"Fertile Ground",,,,,"USG",,"en","NM",,
