Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
test,1,1,Batterskull,SLD,Secret Lair Drop,1206,Played,Normal,English,2.5,4/23/2023,2.5,3.3,4.26
test,1,0,"Dina, Soul Steeper",MUL,Multiverse Legends,167,Excellent,Foil,Simplified Chinese,1.2,4/23/2023,1.2,1.84,1.36
test,1,0,"Dina, Soul Steeper",MUL,Multiverse Legends,167,Good,,Traditional Chinese,0,4/23/2023,,,
test,1,0,Fungal Shambler,PPRE,Prerelease Events,14,NearMint,Foil,English,5.19,4/23/2023,5.19,9.85,10.16
test,1,0,Glistener Elf,SLD,Secret Lair Drop,1205,Poor,Normal,English,4,4/23/2023,4,5.33,5.41
test,1,0,Inkmoth Nexus,SLD,Secret Lair Drop,1207,LightPlayed,Foil,English,43,4/23/2023,43,44,28.82
test,1,0,"Najeela, the Blade-Blossom",CMR,Commander Legends,514,NearMint,Foil,English,9.3,4/23/2023,9.3,12.47,11.82
test,1,0,"Sheoldred, Whispering One",PLIST,The List,848,NearMint,,English,0,4/23/2023,,,
test,1,0,Sword of Once and Future,MOM,March of the Machine,375,Mint,Foil,English,16.25,4/23/2023,16.25,19.11,16.98
test,1,0,Urabrask,MOM,March of the Machine,299,NearMint,Foil,French,15,4/23/2023,15,19.46,16.75
