cmc,collector_number,color_identity,colors,estimated_price,extras,language,mana_cost,name,oracle_id,quantity,rarity,scryfall_id,set_code,set_name,type_line
"3.0","228","C","C","18.68","signed/foil","en","{3}","Sword of Sinew and Steel","ccab4509-f189-4610-9597-547e7f6b0775","1","mythic","c081e5cf-81e2-4afb-a912-8267de29e88d","mh1","Modern Horizons","Artifact — Equipment"
"0.0","18","C","C","-1.0","signed/foil","en","","Replicated Ring","23ee9957-a9b7-4c2e-8bf6-95e89a0dac7d","1","common","b3ce1236-ec2f-4cd1-9701-ba6ead74c220","tkhm","Kaldheim Tokens","Token Snow Artifact"
"3.0","244","C","C","7.959999999999999","signed/foil","en","{3}","Replicating Ring","1ff00f5b-4bf9-4724-8bb5-6b9a9eb0ec7f","1","uncommon","b079e285-8431-46aa-bb04-70cac586ed0b","khm","Kaldheim","Snow Artifact"
"4.0","125","C","C","1.55","signed/foil","en","{4}","Well of Lost Dreams","b0394cf2-12a0-4d4f-87e0-fe8937e6faff","1","rare","045730ed-f19c-41dc-9b57-76068789e445","brr","The Brothers' War Retro Artifacts","Artifact"
"0.0","381","BR","C","4.18","signed/foil","en","","Sulfurous Springs","f5c38c01-4a40-469f-91a0-7479daf4e8e7","1","rare","0ba5d3e7-afd9-40c5-8ee9-238ba47f0841","dmu","Dominaria United","Land"
"2.0","1064","R","R","39.21","signed/foil","en","{1}{R}","Pyretic Ritual","86ef6474-613f-41fb-931c-d4279b03ed99","1","rare","cb425ed1-d428-495a-a56f-07b81e97dcd3","sld","Secret Lair Drop","Instant"
"5.0","372","B","B","0.9099999999999999","signed","en","{4}{B}","Tivash, Gloom Summoner","b5641fcf-135e-43e7-a547-344fac61e279","1","rare","8916186d-a613-4ca1-8490-79550a5d25dd","c21","Commander 2021","Legendary Creature — Human Warlock"
"3.0","523","B","B","15.030000000000001","signed/etchedFoil","en","{2}{B}","Toxic Deluge","afaef788-34d1-460b-b884-9d7ae6ddeb18","1","rare","5a7c713e-0ec3-44c8-8643-dba5a130d6b0","cmm","Commander Masters","Sorcery"
"1.0","7","C","C","5.75","signed/foil","en","{1}","Sol Ring","6ad8011d-3471-4369-9d68-b264cc027487","1","rare","e5ba8c01-b6f5-486d-b300-cbae2c2b5edf","pf19","MagicFest 2019","Artifact"
"6.0","83","B","B","8.16","signed/foil","en","{4}{B}{B}","Professor Onyx","9df2e909-ed13-456a-9636-7398732009a9","1","mythic","013eeb99-1b66-4fba-ad96-78deee901ea4","stx","Strixhaven: School of Mages","Legendary Planeswalker — Liliana"
"0.0","7","B","B","-1.0","signed","en","","Demon","0f6d78a4-f330-47b5-9c30-51324a1e7fb9","1","common","c6df5992-9c1c-407d-9602-a6c659342a15","tc21","Commander 2021 Tokens","Token Creature — Demon"
"10.0","129","R","R","9.23","signed/foil","en","{7}{R}{R}{R}","Apex of Power","d06eedb4-bd5a-4864-9505-a570a745d165","1","mythic","c827bccf-38f9-4a7c-bd0e-038594a9f63b","m19","Core Set 2019","Sorcery"
"4.0","1","W","W","0.99","signed","en","{3}{W}","Ajani Steadfast","90249526-1875-450a-882d-bf6f6bfd37a6","1","mythic","f9302ba8-7ff2-4eaa-a32d-eedd94f0bb79","m15","Magic 2015","Legendary Planeswalker — Ajani"
"5.0","100s","B","B","12.969999999999999","signed/foil","en","{3}{B}{B}","Maha, Its Feathers Night","129476ae-9dab-4e04-8e8e-f249afd56ff9","1","mythic","fca8e86b-3c50-4778-9e3c-75e656a726b1","pblb","Bloomburrow Promos","Legendary Creature — Elemental Bird"
