Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Owned Cards,binder,Priest of Yawgmoth,ATQ,Antiquities,19,normal,common,1,41506,c9fd4054-42fc-4f95-a6f7-369a5da43dd5,2.49,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Gate to Phyrexia,ATQ,Antiquities,16,normal,uncommon,1,41509,1f372950-6693-4838-80ef-8fd9aa3e0349,90.03,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Benalish Hero,3ED,Revised Edition,4,normal,common,1,41421,63e06cd7-9f00-4343-86c2-9f74945193c2,0.19,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Serra Angel,3ED,Revised Edition,40,normal,uncommon,1,41385,97fa5f07-46ba-408d-a861-bdb1791cc188,2.31,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Holy Armor,3ED,Revised Edition,23,normal,common,1,41402,e53412cc-2246-47b5-a212-edee7fac4a54,0.14,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Holy Strength,3ED,Revised Edition,24,normal,common,2,41401,37414560-8187-4c5b-8245-05d77b25c454,0.16,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,White Ward,3ED,Revised Edition,45,normal,uncommon,1,41380,bb38dcd5-4f12-461c-96a8-867a5b63c5c1,0.24,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Righteousness,3ED,Revised Edition,37,normal,rare,1,41388,d85954b4-306e-46d3-b913-240e16acdcac,2.04,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Reverse Polarity,3ED,Revised Edition,36,normal,uncommon,1,41389,e77b2e9b-4db2-4dd2-ae55-bddb22ff87e5,0.29,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Armageddon,3ED,Revised Edition,2,normal,rare,1,41423,605e9a62-53e4-4771-9730-56c78237004a,9.42,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Merfolk of the Pearl Trident,3ED,Revised Edition,68,normal,common,1,41357,2fad0078-f3cb-48a4-9ed4-b658e983314f,0.21,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Flight,3ED,Revised Edition,59,normal,common,1,41366,133aaa10-610b-41be-9327-591f517a4baa,0.13,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Unstable Mutation,3ED,Revised Edition,86,normal,common,1,41339,fc24e53b-5074-4791-9277-46e14a70db3a,0.16,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Steal Artifact,3ED,Revised Edition,84,normal,uncommon,1,41341,df32e7de-dd96-454e-a229-31912d9600e7,0.26,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Jump,3ED,Revised Edition,62,normal,common,1,41363,839b7b38-cb95-4406-af50-4d97884e2489,0.14,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Power Sink,3ED,Revised Edition,74,normal,common,1,41351,1134aa48-b288-44ab-9d3a-efee12cb98a4,0.08,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Drudge Skeletons,3ED,Revised Edition,107,normal,common,3,41318,59145073-2cfd-4153-a6d8-47ad42e739c3,0.15,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Erg Raiders,3ED,Revised Edition,109,normal,common,1,41316,02104733-fb20-43bb-8370-1993528abbdf,0.15,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Frozen Shade,3ED,Revised Edition,112,normal,common,5,41313,6cba931e-94b5-4fcc-8d5f-eb60664baf31,0.22,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Scathe Zombies,3ED,Revised Edition,127,normal,common,2,41298,6cbe576f-03d5-4d22-947a-187d9e20425d,0.14,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Sorceress Queen,3ED,Revised Edition,131,normal,rare,1,41294,b83d7331-e573-4dea-901a-de9150d4b5c0,3.89,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Scavenging Ghoul,3ED,Revised Edition,128,normal,uncommon,1,41297,33a5daf6-ce4f-4d00-8458-b7d1a9e037bc,0.24,FALSE,FALSE,near_mint,en,USD
Owned Cards,binder,Demonic Hordes,3ED,Revised Edition,104,normal,rare,1,41321,b4cfeebf-d893-4fdf-b3fc-f1f9528f4d04,9.44,FALSE,FALSE,near_mint,en,USD
