Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Choose Your Weapon,Choose Your Weapon,Adventures in the Forgotten Realms,175,AFR,Foil,Near Mint,English,Uncommon,243064,5048605
1,Illusion // Plant Double-sided Token,Illusion Token,Commander Legends,,CMR,Normal,Near Mint,English,Token,228308,4686126
1,"Ashiok, Dream Render","Ashiok, Dream Render",War of the Spark,228,WAR,Foil,Near Mint,English,Uncommon,188627,4005348
1,Surestrike Trident,Surestrike Trident,Darksteel,147,DST,Foil,Near Mint,English,Uncommon,11654,47533
1,Archmage Ascension,Archmage Ascension,Zendikar,42,ZEN,Foil,Near Mint,Japanese,Rare,33251,1760404
1,Selfless Glyphweaver,Selfless Glyphweaver,Strixhaven: School of Mages,157,STX,Foil,Near Mint,English,Rare,236029,4879983
1,Meloku the Clouded Mirror,Meloku the Clouded Mirror,Commander Legends,399,CMR,Normal,Near Mint,English,Rare,227295,4674255
1,"Najeela, the Blade-Blossom (Foil Etched)","Najeela, the Blade-Blossom",Commander Legends,514,CMR,Foil,Near Mint,Chinese (T),Mythic,226819,4644131
1,"Archaeon the Everchosen - Najeela, the Blade-Blossom (Borderless)","Najeela, the Blade-Blossom",Secret Lair Drop Series,1032,SLD,Foil,Lightly Played,English,Mythic,450586,6660363
1,"Dina, Soul Steeper (Serialized)","Dina, Soul Steeper",March of the Machine: Multiverse Legends,37,MUL,Foil,Moderately Played,English,Uncommon,492003,7099102
1,"Dina, Soul Steeper (Halo Foil)","Dina, Soul Steeper",March of the Machine: Multiverse Legends,167,MUL,Foil,Near Mint,English,Uncommon,491938,7098195
1,"Sheoldred, the Apocalypse (Concept Praetor) (Step-And-Compleat Foil)","Sheoldred, the Apocalypse",Phyrexia: All Will Be One,436,ONE,Foil,Near Mint,English,Mythic,478315,6931148
1,"Sheoldred, the Apocalypse (Textured Foil)","Sheoldred, the Apocalypse",Dominaria United,331,DMU,Foil,Near Mint,English,Mythic,282739,5741866
1,"Sheoldred, the Apocalypse Art Card (Gold-Stamped Signature)","Sheoldred, the Apocalypse Art Card",Art Series: Dominaria United,26,ASDMU,Normal,Near Mint,English,Special,284488,5791951
1,"Niv-Mizzet, the Firemind","Niv-Mizzet, the Firemind",Duel Decks: Izzet vs. Golgari,1,DDJ,Foil,Near Mint,English,Mythic,66306,1041847
1,Hallowed Fountain,Hallowed Fountain,Promo Pack: Throne of Eldraine,251p,PPELD,Normal,Damaged,English,Rare,200236,4226243
1,"Toxrill, the Corrosive","Toxrill, the Corrosive",Prerelease Cards,132s,PRE,Foil,Heavily Played,Chinese (S),Mythic,255082,5321058
1,Survival of the Fittest,Survival of the Fittest,Judge Promos,4,JDG,Foil,Near Mint,English,Promo,38273,407681
