TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"376118","Magic","10th Edition","Cho-Manno, Revolutionary","","12","R","Lightly Played","0.35","","1.5600","0.2500","0","0","0.3400",""
"376267","Magic","10th Edition","Mirri, Cat Warrior","","279","R","Lightly Played","2.70","","4.0100","2.7000","0","0","2.8700",""
"376306","Magic","10th Edition","Platinum Angel","","339","R","Lightly Played","5.18","","6.5200","6.5200","0","0","5.7900",""
"6569","Magic","10th Edition","Reya Dawnbringer","","35","R","Near Mint Foil","3.93","","6.7600","5.2600","0","0","3.8700",""
"6831","Magic","10th Edition","Shunt","","233","R","Near Mint","0.74","","2.0500","0.7400","0","0","0.5800",""
"6927","Magic","10th Edition","Soul Warden","","44","U","Near Mint","2.91","","3.8500","2.5000","0","0","1.7600",""
"16911","Magic","7th Edition","Arcane Laboratory","","60","U","Near Mint","0.99","","2.1500","0.8400","0","0","1.0500",""
"366059","Magic","7th Edition","Purify","","31","R","Lightly Played","0.36","0.30","1.6100","0.3000","0","0","0.3800",""
"341380","Magic","8th Edition","Brass Herald","","293","R","Moderately Played","0.30","","1.4900","0.1800","0","0","0.2700",""
"23557","Magic","8th Edition","Call of the Wild","","235","R","Near Mint","0.37","","1.6000","0.1000","0","0","0.3400",""
"372793","Magic","8th Edition","Goblin King","","190","R","Lightly Played","3.40","","4.7100","3.4000","0","0","4.5400",""
"372806","Magic","8th Edition","Mogg Sentry","","203","R","Lightly Played","0.18","0.20","1.4600","0.1500","0","0","0.3500",""
"357156","Magic","8th Edition","Planar Portal","","311","R","Heavily Played","1.42","","2.7300","1.4200","0","0","1.3100",""
"24647","Magic","9th Edition","Bloodfire Colossus","","177","R","Near Mint","0.36","","1.5300","0.2200","1","0","0.3600",""
"374331","Magic","9th Edition","Jester's Cap","","301","R","Lightly Played","0.77","","1.7900","0.4800","0","0","0.8800",""
"342957","Magic","9th Edition","Temporal Adept","","102","R","Moderately Played","0.34","","1.3200","0.0100","0","0","0.4400",""
"374484","Magic","9th Edition","Traumatize","","109","R","Lightly Played","3.31","","4.9600","3.6500","0","0","3.2600",""
"5078485","Magic","Adventures in the Forgotten Realms","Armory Veteran","","130","C","Near Mint Foil","0.05","0.01","1.3200","0.0100","1","0","0.3500",""
"5055433","Magic","Adventures in the Forgotten Realms","Battle Cry Goblin","","132","U","Near Mint Foil","0.82","0.90","1.7000","0.3900","1","0","0.8200",""
"5080790","Magic","Adventures in the Forgotten Realms","Deadly Dispute","","94","C","Near Mint","0.51","0.51","1.6000","0.2900","0","0","0.8800",""
"5070275","Magic","Adventures in the Forgotten Realms","Delina, Wild Mage (Showcase)","","317","R","Near Mint","9.95","9.95","8.6300","8.6300","0","0","3.4400",""
"5082933","Magic","Adventures in the Forgotten Realms","Dragon's Fire","","139","C","Near Mint Foil","0.17","","1.4100","0.1000","1","0","0.3500",""
"5104754","Magic","Adventures in the Forgotten Realms","Dungeon Descent (Dungeon Module)","","352","R","Near Mint","0.24","0.19","1.4300","0.1200","0","0","0.2600",""
"5069360","Magic","Adventures in the Forgotten Realms","Farideh's Fireball","","142","C","Near Mint","0.06","0.05","1.3500","0.0400","0","0","0.3000",""
"5069365","Magic","Adventures in the Forgotten Realms","Farideh's Fireball","","142","C","Near Mint Foil","0.18","0.15","1.4200","0.1100","1","0","0.3500",""
"5048930","Magic","Adventures in the Forgotten Realms","Flameskull","","143","M","Near Mint","0.15","0.15","1.3900","0.0800","1","0","0.3500",""
"5066650","Magic","Adventures in the Forgotten Realms","Guardian of Faith (Extended Art)","","362","R","Near Mint Foil","3.81","","5.1300","3.6300","0","0","3.5800",""
"5059049","Magic","Adventures in the Forgotten Realms","Hall of Storm Giants","","257","R","Near Mint Foil","1.08","1.06","1.9100","0.6000","1","0","1.0800",""
"5054708","Magic","Adventures in the Forgotten Realms","Hall of Storm Giants (Dungeon Module)","","354","R","Near Mint Foil","2.06","1.84","2.7500","1.4400","0","0","2.6700",""
"5079035","Magic","Adventures in the Forgotten Realms","The Book of Exalted Deeds","","4","M","Near Mint Foil","6.21","6.53","6.2700","6.2700","0","0","4.8900",""
"5056178","Magic","Adventures in the Forgotten Realms","Werewolf Pack Leader (Extended Art)","","387","R","Near Mint","0.92","0.88","1.7300","0.4200","0","0","0.8000",""
"5056183","Magic","Adventures in the Forgotten Realms","Werewolf Pack Leader (Extended Art)","","387","R","Near Mint Foil","1.03","","2.2100","0.9000","0","0","0.8900",""
"5072365","Magic","Adventures in the Forgotten Realms","Wizard Class","","81","U","Near Mint","1.33","1.42","2.2100","0.9000","1","0","1.3300",""
"8524569","Magic","Aetherdrift","Aatchik, Emerald Radian","","187","R","Near Mint","0.18","0.16","1.3600","0.0500","3","0","0.3500",""
"8520772","Magic","Aetherdrift","Aatchik, Emerald Radian (Borderless)","","360","R","Near Mint","0.44","0.50","1.5600","0.2500","0","0","0.4000",""
"8542935","Magic","Aetherdrift","Afterburner Expert","","150","R","Near Mint","0.11","0.10","1.3200","0.0100","0","0","0.8500",""
"8543000","Magic","Aetherdrift","Afterburner Expert (Extended Art)","","387","R","Near Mint","0.27","0.17","1.4100","0.1000","0","0","0.7900",""
"8543005","Magic","Aetherdrift","Afterburner Expert (Extended Art)","","387","R","Near Mint Foil","0.55","0.16","1.4700","0.1600","1","0","0.5500",""
"8524314","Magic","Aetherdrift","Agonasaur Rex","","151","R","Near Mint","0.92","0.98","1.5600","0.2500","0","0","1.1200",""
"8524239","Magic","Aetherdrift","Agonasaur Rex (Borderless)","","343","R","Near Mint","0.69","0.97","1.5300","0.2200","0","0","0.9000",""
"8525761","Magic","Aetherdrift","Amonkhet Raceway","","248","U","Near Mint","0.26","0.25","1.4600","0.1500","0","0","0.3500",""
"8525791","Magic","Aetherdrift","Amonkhet Raceway","","248","U","Near Mint Foil","0.57","0.60","1.5700","0.2600","0","0","0.5200",""
"8525756","Magic","Aetherdrift","Amonkhet Raceway (Extended Art)","","424","P","Near Mint Foil","0.50","","1.6600","0.3500","0","0","1.7400",""
"8525821","Magic","Aetherdrift","Avishkar Raceway (Extended Art)","","425","P","Near Mint Foil","0.19","","1.3900","0.0800","0","0","0.7400",""
"8519152","Magic","Aetherdrift","Basri, Tomorrow's Champion","","3","R","Near Mint","0.14","0.14","1.3200","0.0100","0","0","0.4600",""
"8519182","Magic","Aetherdrift","Basri, Tomorrow's Champion","","3","R","Near Mint Foil","0.24","0.20","1.4000","0.0900","0","0","0.3800",""
"8520892","Magic","Aetherdrift","Basri, Tomorrow's Champion (Borderless)","","355","R","Near Mint","0.21","0.21","1.3600","0.0500","0","0","0.3300",""
"8525891","Magic","Aetherdrift","Bleachbone Verge","","250","R","Near Mint","7.48","8.87","5.9800","4.6700","0","0","4.8900",""
"8525921","Magic","Aetherdrift","Bleachbone Verge","","250","R","Near Mint Foil","7.36","8.54","6.9900","5.6800","0","0","5.6900",""
"8525826","Magic","Aetherdrift","Bleachbone Verge (Borderless)","","371","R","Near Mint","7.89","7.94","7.9400","7.9400","0","0","8.1700",""
"8525856","Magic","Aetherdrift","Bleachbone Verge (Borderless)","","371","R","Near Mint Foil","10.56","11.02","10.4500","9.4600","0","0","10.1600",""
"8523325","Magic","Aetherdrift","Bloodghast","","77","R","Near Mint","0.81","0.94","1.9100","0.6000","0","0","0.7200",""
"8523234","Magic","Aetherdrift","Bloodghast (Borderless)","","337","R","Near Mint","0.88","0.99","1.5500","0.2400","0","0","0.9400",""
"8519212","Magic","Aetherdrift","Boommobile","","113","R","Near Mint","0.07","0.08","1.3200","0.0100","0","0","0.2800",""
"8519242","Magic","Aetherdrift","Boommobile","","113","R","Near Mint Foil","0.13","0.11","1.4000","0.0900","0","0","0.3100",""
"8520952","Magic","Aetherdrift","Boommobile (Borderless)","","310","R","Near Mint","0.25","0.21","1.3700","0.0600","2","0","0.3500",""
"8520982","Magic","Aetherdrift","Boommobile (Borderless)","","310","R","Near Mint Foil","0.26","0.25","1.4100","0.1000","2","0","0.3500",""
"8424604","Magic","Aetherdrift","Brightglass Gearhulk","","191","M","Near Mint","3.30","4.29","3.8000","2.3000","0","0","13.8300",""
"8524629","Magic","Aetherdrift","Brightglass Gearhulk (Borderless)","","348","M","Near Mint","4.79","5.08","4.8000","3.4900","0","0","16.3600",""
"8519332","Magic","Aetherdrift","Bulwark Ox","","7","R","Near Mint","0.28","0.25","1.4000","0.0900","1","0","0.3500",""
"8521072","Magic","Aetherdrift","Bulwark Ox (Borderless)","","333","R","Near Mint","0.25","0.27","1.4000","0.0900","2","0","0.3500",""
"8546327","Magic","Aetherdrift","Burnout Bashtronaut","","115","R","Near Mint","0.22","0.24","1.3900","0.0800","0","0","0.4700",""
"8546332","Magic","Aetherdrift","Burnout Bashtronaut","","115","R","Near Mint Foil","0.25","0.25","1.4200","0.1100","0","0","0.6100",""
"8546272","Magic","Aetherdrift","Burnout Bashtronaut (Borderless)","","340","R","Near Mint Foil","0.43","0.45","1.5600","0.2500","0","0","0.5900",""
"8519392","Magic","Aetherdrift","Captain Howler, Sea Scourge","","194","R","Near Mint","0.26","0.25","1.3900","0.0800","0","0","0.3600",""
"8521132","Magic","Aetherdrift","Captain Howler, Sea Scourge (Borderless)","","361","R","Near Mint","0.49","0.50","1.5200","0.2100","0","0","1.6900",""
"8519452","Magic","Aetherdrift","Caradora, Heart of Alacria","","195","R","Near Mint","0.13","0.11","1.3600","0.0500","0","0","0.3500",""
