"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,Set code,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Scryfall ID
"A Little Chat","Instant",Bleu,Peu commune,"Matt Stewart",0,0,(1)(U),2,1,0,0,$0.09,$0.18,47,"Streets of New Capenna",SNC,72884,555248,,0,"","","",268341,651256,4d7424b6-b56a-47b7-8204-294d3dca925f
"Abiding Grace","Enchantment",Blanc,Peu commune,"Jenn Ravenna Tran",0,0,(2)(W),3,1,0,0,$0.12,$0.34,1,"Modern Horizons 2",MH2,65370,522077,,0,"","","",240139,566659,db113c47-c403-4c7f-9fa9-212c977df8d1
"Aboleth Spawn","Creature - Fish Horror",Bleu,Rare,"Sam Burley",2,3,(2)(U),3,1,0,0,$3.14,$3.14,662,"Commander Legends: Battle for Baldur's Gate",CLB,75032,567227,,0,"","","",273875,661288,51889b3f-082a-40e9-8be7-11f8c1a7a9a8
"Abrade","Instant",Rouge,Commune,"Dominik Mayer",0,0,(1)(R),2,4,0,0,$0.14,$0.46,139,"Innistrad: Crimson Vow",VOW,69709,540992,,0,"","","",253063,581891,a0e47d11-cb21-402b-a39e-588a94cc57b4
"Abundant Harvest","Sorcery",Vert,Commune,"Iris Compiet",0,0,(G),1,1,0,0,$0.15,$0.21,147,"Modern Horizons 2",MH2,65518,522223,,0,"","","",239691,566186,5ad86b17-3fed-418a-938c-c49adb409531
"Abzan Charm","Instant",Multi-couleurs,Peu commune,"Mathias Kollros",0,0,(W)(B)(G),3,1,0,0,$0.18,$0.20,166,"Double Masters 2022",2X2,76056,571499,,0,"","","",276530,664873,1757a916-60d3-4f6b-8759-32a1645dadd2
"Abzan Falconer","Creature - Human Soldier",Blanc,Peu commune,"Steven Belledin",2,3,(2)(W),3,1,0,0,$0.15,$0.15,77,"Midnight Hunt Commander",MIC,68945,539338,,0,"","","",248588,575357,5f03c34e-5304-4e62-a1ea-c8c9aa5f2342
"Academy Wall","Creature - Wall",Bleu,Commune,"Adam Paquette",0,5,(2)(U),3,2,0,0,$0.11,$0.11,41,"Dominaria United",DMU,76737,574521,,0,"","","",283404,672313,d2028115-f0de-4e8b-99bc-7369352e1e07
"Adaptive Sporesinger","Creature - Phyrexian Druid",Vert,Commune,"Dave Kendall",2,2,(2)(G),3,1,0,0,$0.13,$0.13,157,"Phyrexia: All Will Be One",ONE,83049,0,,0,"","","",479567,694761,3db6d202-9c6f-4485-9224-173b23de7054
"Aegar, the Freezing Flame","Legendary Creature - Giant Wizard",Multi-couleurs,Peu commune,"Richard Luong",3,3,(1)(U)(R),3,1,0,0,$0.12,$0.21,31,"Multiverse Legends",MUL,84565,0,,0,"","","",491822,704960,0a0d2ebd-99ba-4968-a79e-68288626bed1
